plateifu	first_data	vlass_data	mangaid	objra	objdec	z_1	ra	dec	z_2	flux	lum	Mr01	NYU_mstar	is_agn	selection	ref	GAU	ELPETRO_TH50_R
8656-6103	1	1	1-31324	7.29345627	-0.163789255	0.0608047	7.293456532	-0.163781181	0.0607837	3.7	22.511	-21.525404	10.67859524	0	0	L10	0	6.225894
8657-6101	1	1	1-31788	9.399203563	0.280661865	0.0349048	9.399198888	0.280665803	0.0348902	8	22.35	-21.189932	10.61581221	0	0	L10	0	6.359032
8711-3702	1	1	1-378910	117.3378066	52.35113792	0.0662235	117.3377909	52.35120888	0.0662439	40.3	23.626	-21.146875	10.68870979	1	1	L10	1	5.400585
8712-6101	1	1	1-379291	118.7269228	53.84627709	0.0348771	118.7269355	53.84633716	0.0348834	14.9	22.62	-21.085756	10.45683044	0	0	L10	1	6.1544337
8713-6104	1	1	1-43865	118.3173184	39.05012277	0.0408673	118.3173306	39.05014834	0.0408931	4.2	22.211	-21.398514	10.50049461	0	0	L10	1	5.990466
8714-3704	1	1	1-604860	118.1841527	45.94927639	0.0516947	118.1841906	45.94927352	0.0516869	600.9	24.576	-21.525719	10.86427744	1	1	L10	1	4.8625193
8714-6103	1	1	1-548196	117.7760202	47.33335263	0.0788339	117.7759723	47.33343847	0.078899	177.3	24.428	-21.852152	10.98508329	0	0	L10	1	7.4349947
8715-3701	1	1	1-378770	119.1200007	50.2878655	0.133623	119.1199077	50.28793042	0.1335743	164.6	24.88	-22.332228	11.16926984	1	1	L10	1	4.9714026
8716-3701	1	1	1-605012	121.5476475	53.1473631	0.0641829	121.5475638	53.14745382	0.0641846	4.2	22.615	-21.518965	10.64514252	0	0	L10	1	5.1433425
8717-1901	1	1	1-71481	117.4560012	34.8839121	0.131157	117.4560031	34.8839132	0.1311763	29.8	24.121	-21.963463	11.01725467	1	1	L10	1	6.9822016
